SKU,SIZE,NAME,SOLD_AT,SOLD_PRICE,CONDITION,SOURCE,GENDER,BRAND,SILHOUETTE,COLORWAY,RETAILPRICE,RELEASEDATE,IS_COLLAB,COLLABORATOR,COLOR,SIZE_VALUE,IS_WIDE,IS_UK,IS_EU
CT2483-001,11.5,Nike Mercurial Superfly Kylian Mbappe Lebron James Chosen 2,2021-05-10T16:43:50Z,247,is_new,stockx,men,Nike,Mercurial Superfly,Black/Grey/Iridescent,300,07-01-2021,FALSE,None,grey,11.5,FALSE,FALSE,FALSE
H02795,6.5,adidas Yeezy Boost 350 V2 Fade,2021-05-10T16:44:02Z,371,is_new,stockx,men,adidas,Yeezy Boost 350,Yecher/Yecher/Yecher,220,11-11-2020,TRUE,kanye west,grey,6.5,FALSE,FALSE,FALSE
832822-001,10.5,Jordan 9 Retro Low Snakeskin,2021-05-10T16:44:13Z,245,is_new,stockx,men,Jordan,Air Jordan 9,Black/Gym Red-White,170,16-04-2016,FALSE,None,black,10.5,FALSE,FALSE,FALSE
DD1870-100,8.5,Nike Air Max 1 CLOT Kiss of Death (2021),2021-05-10T16:44:14Z,166,is_new,stockx,men,Nike,Air Max 1,Net/Deep Red-Orange Blaze,150,27-03-2021,TRUE,clot,red,8.5,FALSE,FALSE,FALSE
GY0092,11,adidas NMD Hu Pharrell Extra Eye White,2021-05-10T16:44:21Z,215,is_new,stockx,men,adidas,NMD Human Race,Cloud White/Core Black/Cloud White,220,19-09-2020,FALSE,None,white,11,FALSE,FALSE,FALSE
DD8558-100,8,Nike Air Griffey Max 1 White Freshwater (2021),2021-05-10T16:44:22Z,249,is_new,stockx,men,Nike,Air Griffey Max 1,White/Black-Teal,170,15-02-2021,FALSE,None,white,8,FALSE,FALSE,FALSE
705334-105,6.5Y,Jordan 4 Retro Laser (GS),2021-05-10T16:44:24Z,262,is_new,stockx,child,Jordan,Air Jordan 4,White/Chrome-Metallic Silver,180,21-03-2015,FALSE,None,white,6.5,FALSE,FALSE,FALSE
GY0374,7,adidas Yeezy Desert Boot Taupe Blue,2021-05-10T16:44:30Z,319,is_new,stockx,men,adidas,Yeezy Desert Boot,Taupe/Taupe/Blue,200,29-03-2021,TRUE,kanye west,blue,7,FALSE,FALSE,FALSE
524862-402,12,Nike Air Max Hyperposite Glow-In-the-Dark,2021-05-10T16:44:34Z,275,is_new,stockx,men,Nike,Air Max Hyperposite,Hyper Blue/Obsidian-Total Crimson,225,05-10-2013,FALSE,None,blue,12,FALSE,FALSE,FALSE
CZ6419-100,9.5,Nike Air Max 90 SE Worldwide,2021-05-10T16:44:34Z,71,is_new,stockx,men,Nike,Air Max 90,White/Black/Volt/Blue Fury,130,16-07-2020,FALSE,None,white,9.5,FALSE,FALSE,FALSE
